Canadian Food,US Matches
"Shortening, industrial, for baking (pastry), canola",
"Shortening, industrial, for baking (pastry), soybean",
"Shortening, industrial, all purpose, soy and palm",
"Shortening, industrial, all purpose, canola and palm",
"Spread, 20% butter / 80% canola oil",
"Shortening, household, unspecified vegetable oil","Shortening, NS as to vegetable or animal(61.36% match #81203000); Shortening, vegetable(60.87% match #81203100); "
"Chicken, broiler, meat, skin, giblets and neck, raw",
"Chicken, broiler, meat, skin, giblets and neck, batter dipped, fried",
"Chicken, broiler, meat, skin, giblets and neck, flour coated, fried",
"Chicken, broiler, meat, skin, giblets and neck, roasted",
"Chicken, broiler, meat, skin, giblets and neck, stewed",
"Chicken, broiler, meat and skin, raw","Chicken, breast, stewed, skin eaten(64.79% match #24123110); Chicken, breast, stewed, skin not eaten(61.33% match #24123120); Chicken, breast, fried, no coating, skin eaten(60.98% match #24124110); "
"Chicken, broiler, meat and skin, batter dipped, fried","Chicken, meatless, breaded, fried(65.12% match #41810610); Mushrooms, batter-dipped, fried(61.9% match #75414030); Okra, batter-dipped, fried(60.76% match #75414500); "
"Chicken, broiler, meat and skin, flour coated, fried","Chicken, meatless, breaded, fried(63.53% match #41810610); "
"Chicken, broiler, meat and skin, roasted","Chicken, breast, stewed, skin eaten(66.67% match #24123110); Chicken, breast, stewed, skin not eaten(65.82% match #24123120); Chicken, wing, stewed, skin eaten(63.01% match #24163110); "
"Chicken, broiler, meat and skin, stewed","Chicken, breast, fried, no coating, skin eaten(61.18% match #24124110); Chicken, leg (drumstick and thigh), stewed, skin eaten(60.22% match #24133210); "
"Chicken, broiler, meat only, raw","Chicken, canned, meat only(72.41% match #24198570); "
"Chicken, broiler, meat only, fried","Chicken, canned, meat only(70.0% match #24198570); Chicken liver, fried(66.67% match #25110450); Chicken, meatless, breaded, fried(62.69% match #41810610); "
"Chicken, broiler, meat only, roasted","Chicken, canned, meat only(67.74% match #24198570); Chicken, chicken roll, roasted(66.67% match #24198670); "
"Chicken, broiler, meat only, stewed","Chicken, canned, meat only(68.85% match #24198570); "
"Chicken, broiler, skin only, batter dipped, fried","Chicken, meatless, breaded, fried(63.41% match #41810610); Cauliflower, batter-dipped, fried(63.41% match #75409020); Mushrooms, batter-dipped, fried(62.5% match #75414030); "
"Chicken, broiler, skin only, flour coated, fried",
"Chicken, broiler, giblets, raw",
"Chicken, broiler, giblets, flour coated, fried","Chicken, meatless, breaded, fried(63.29% match #41810610); "
"Chicken, broiler, giblets, simmered",
"Chicken, broiler, gizzard, raw","Cherries, sour, red, raw(62.96% match #63113010); "
"Chicken, broiler, gizzard, simmered",
"Chicken, broiler, heart, raw","Cherries, sour, red, raw(61.54% match #63113010); "
"Chicken, broiler, heart, simmered","Chicken liver, fried(64.15% match #25110450); "
"Chicken, broiler, liver, raw","Chicken liver, braised(68.0% match #25110420); Chicken liver, fried(66.67% match #25110450); Cherries, sour, red, raw(61.54% match #63113010); "
"Chicken, broiler, liver, simmered","Chicken liver, fried(67.92% match #25110450); "
"Chicken, broiler, light meat and skin, raw","Chicken, breast, stewed, skin eaten(62.34% match #24123110); "
"Chicken, broiler, light meat and skin, batter dipped, fried","Chicken, meatless, breaded, fried(60.87% match #41810610); "
"Chicken, broiler, light meat and skin, flour coated, fried",
"Chicken, broiler, light meat and skin, roasted","Chicken, breast, stewed, skin eaten(64.2% match #24123110); Chicken, breast, stewed, skin not eaten(63.53% match #24123120); Chicken, breast, fried, no coating, skin eaten(60.87% match #24124110); "
"Chicken, broiler, light meat and skin, stewed",
"Chicken, broiler, dark meat and skin, raw","Chicken, breast, NS as to cooking method, skin eaten(60.22% match #24120110); "
"Chicken, broiler, dark meat and skin, batter dipped, fried","Chicken, meatless, breaded, fried(61.54% match #41810610); "
"Chicken, broiler, dark meat and skin, flour coated, fried",
"Chicken, broiler, dark meat and skin, roasted","Chicken, breast, NS as to cooking method, skin eaten(61.86% match #24120110); Chicken, breast, fried, no coating, skin eaten(61.54% match #24124110); Chicken, breast, fried, no coating, skin not eaten(61.05% match #24124120); "
"Chicken, broiler, dark meat and skin, stewed","Chicken, breast, NS as to cooking method, skin eaten(60.42% match #24120110); "
