Canadian Food,US Matches 
"Cream puff, eclair, custard or cream filled, with icing (frosting)","Cream puff, eclair, custard or cream filled, NS as to icing(83.2% match #53420000); Cream puff, eclair, custard or cream filled, not iced(82.35% match #53420100); Cream puff, eclair, custard or cream filled, iced(81.74% match #53420200); "
"Snacks, fruit leather, pieces, vitamin C added",
"Juice drink, fruit, ready-to-drink","Muscle Milk, light, ready-to-drink(76.47% match #95106010); Glucerna, nutritional shake, ready-to-drink(62.34% match #95104000); "
"Bread, cheese","Bread, cheese(100.0% match #51111010); Bread, rice(75.0% match #51806010); Strudel, cheese(71.43% match #53440600); "
"Bread, focaccia, Italian flatbread, plain","Focaccia, Italian flatbread, plain(88.0% match #51108010); Bread, paratha, (Indian flat bread), wheat(67.47% match #51300185); "
"Cracker, honey sesame","Cracker, cheese(72.22% match #54304000); Crackers, wheat(66.67% match #54338000); Crackers, corn(62.86% match #54339000); "
"Drink, fruit flavour, powder, low calorie, vitamin C","Fruit flavored drink, low calorie, with high vitamin C(71.7% match #92550610); Fruit flavored drink, made from powdered mix, low calorie, with high vitamin C(66.15% match #92552000); "
"Cracker, 7 grain","Crackers, graham(75.0% match #54102010); Crackers, rice(73.33% match #54319000); Crackers, corn(73.33% match #54339000); "
"Fish, salmon, sockeye (red), canned, total can contents",
"Cracker, cheese, Asiago","Cracker, cheese(78.95% match #54304000); Cracker, cheese, reduced fat(70.59% match #54304100); Cracker, cheese, whole grain(70.59% match #54304150); "
"Cracker, roasted vegetable","Crackers, oatmeal(69.77% match #54102050); Pickles, NS as to vegetable(67.92% match #75511100); Bread, vegetable(61.9% match #51135000); "
"Fish, salmon, sockeye (red), canned, drained solids, without skin and bones",
"Fish, salmon, pink, canned, drained solids, without skin and bones",
"Beans, kidney, red, canned, drained solids","Pear, cooked or canned, drained solids(75.0% match #63137150); Pineapple, cooked or canned, drained solids(70.59% match #63141150); Plum, cooked or canned, drained solids(70.0% match #63143150); "
"Beans, pinto, canned, drained solids","Pear, cooked or canned, drained solids(75.68% match #63137150); Pineapple, cooked or canned, drained solids(70.89% match #63141150); Plum, cooked or canned, drained solids(70.27% match #63143150); "
"Sauce, cocktail, ready-to-serve","Muscle Milk, ready-to-drink(62.07% match #95106000); "
"Beans, kidney, red, canned, drained and rinsed","Pear, cooked or canned, drained solids(61.9% match #63137150); "
"Beans, pinto, canned, drained and rinsed","Pear, cooked or canned, drained solids(61.54% match #63137150); "
"Bread, garlic","Bread, garlic(100.0% match #51121010); Bread, rice(83.33% match #51806010); Bread, fruit(72.0% match #52405010); "
"Cinnamon bun, with icing (honey bun)",
"Grains, wheat flour, whole-grain, soft wheat",
"Corn dog, wiener/sausage with cornflour coating, frozen, prepared",
"Fast foods, pizza, sausage, regular crust","Pizza, extra cheese, regular crust(61.33% match #58106255); "
Pulled pork in barbecue sauce,Ham or pork with barbecue sauce (mixture)(62.86% match #27120030); Barbecue sauce(60.47% match #74406010); 
"Fast foods, pizza, sausage, thin crust","White pizza, thin crust(62.3% match #58107220); "
Potato salad with egg,"Tuna salad with egg(80.0% match #27450100); Pea salad with cheese(71.43% match #75416600); Potato salad, made with creamy dressing(66.67% match #71603030); "
"Fast foods, pizza, pepperoni, thin crust","Pizza with pepperoni, stuffed crust(61.33% match #58106565); White pizza, thin crust(60.32% match #58107220); "
"Macaroni and cheese, frozen","Macaroni and cheese (diet frozen meal)(80.0% match #58302000); Macaroni and cheese, baby food, strained(71.64% match #58508000); Macaroni and cheese, baby food, toddler(69.7% match #58508300); "
"Fast foods, mexican, taco with beef, cheese and lettuce, soft",
"Fast foods, mexican, taco with chicken, cheese and lettuce, soft",
"Ravioli, meat-filled, with tomato or meat sauce, canned","Ravioli, meat-filled, with tomato sauce or meat sauce, canned(94.83% match #58131323); Ravioli, cheese-filled, with tomato sauce, canned(84.62% match #58131523); Tortellini, meat-filled, with tomato sauce, canned(80.0% match #58134613); "
"Ravioli, cheese-filled, canned","Ravioli, cheese-filled, no sauce(83.87% match #58131510); Ravioli, cheese-filled, with cream sauce(77.14% match #58131535); Ravioli, cheese-filled, with meat sauce(75.36% match #58131530); "
"Fast food, quesadilla, chicken",Quesadilla with chicken(64.15% match #58104740); 
"Salad, grape and apple with yogourt and candied walnuts",Apple and grape salad with yogurt and walnuts(70.0% match #63401015); 
"Yogourt, vanilla flavoured, low fat, with added vitamin D (0.5-1.9% M.F.)",
"Yogourt, plain, fat free, with added Vitamin D (0-0.5% MF)",
"Yogourt, fruit flavoured, fat free, with added Vitamin D (0-0.5% M.F.)",
"Chicken tenders, breaded, frozen, prepared","Chicken, meatless, breaded, fried(69.33% match #41810610); Chicken patty with cheese, breaded, cooked(61.9% match #24198710); Chicken dinner, NFS (frozen meal)(61.33% match #28140100); "
"Yogourt, vanilla flavoured, fat free, with added Vitamin D and A (0-0.5% M.F.)",
"Yogourt, fruit flavoured (2-3.9% M.F.), with added Vitamin D","Yogurt covered fruit snacks candy, with added vitamin C(60.87% match #91708150); "
"Yogourt, vanilla flavoured, with added Vitamin D (2-3.9% M.F.)",
"Yogourt, soy, vanilla flavoured",
"Yogourt beverage, fruit flavoured, with added Vitamin D","Yogurt covered fruit snacks candy, with added vitamin C(72.73% match #91708150); "
"Yogourt beverage, vanilla flavoured, with added Vitamin D","Yogurt covered fruit snacks candy, with added vitamin C(62.5% match #91708150); "
"Yogourt, goat, plain","Nougat, plain(72.73% match #91726000); "
"Yogourt, goat, fruit flavoured",
"Yogourt, goat, vanilla flavoured",
"Pear, Bartlett, raw","Peas, green, raw(68.57% match #75120000); Parsley, raw(64.52% match #75119000); "
"Apple, Golden Delicious, raw, with skin",
"Nuts, mixed nuts, oil roasted with peanuts, lightly salted","Mixed nuts, roasted, with peanuts(68.13% match #42110100); Mixed nuts, honey-roasted, with peanuts(65.98% match #42110300); "
"Nuts, mixed nuts, oil roasted without peanuts, lightly salted","Mixed nuts, roasted, without peanuts(70.1% match #42110150); Mixed nuts, honey-roasted, with peanuts(64.0% match #42110300); "
"Sweetener, syrup, agave",
"Pizza, cheese, thin crust, frozen, cooked","Pizza, no cheese, thin crust(72.46% match #58107050); Pizza, no cheese, thick crust(68.57% match #58107100); Pizza, cheese, with fruit, thin crust(64.1% match #58106358); "
"Grains, rice and vermicelli mix, chicken flavour, unprepared",
"Grains, rice and vermicelli mix, chicken flavour, prepared with margarine",
"Sauce, cheese and salsa, medium","Cracker, cheese, low sodium(62.07% match #54205030); Egg, cheese and sausage on bagel(60.32% match #32202120); "
"Seaweed, Canadian cultivated EMI-TSUNOMATA, dried",
"Seaweed, Canadian cultivated EMI-TSUNOMATA, rehydrated",
"Grains, rice and vermicelli mix, beef flavour, unprepared",
"Grains, rice and vermicelli mix, beef flavour, prepared with margarine",
"Grains, rice and vermicelli mix, pilaf flavour, unprepared",
"Grains, rice and vermicelli mix, pilaf flavour, prepared with margarine",
"Macaroni and cheese, box mix with cheese sauce, unprepared","Macaroni or noodles with cheese and tuna(63.27% match #58145120); Macaroni or noodles, creamed, with cheese and tuna(62.96% match #58147340); "
"Macaroni and cheese, box mix with cheese sauce, prepared","Macaroni or noodles with cheese, canned(63.16% match #58145113); Macaroni or noodles with cheese and tuna(60.42% match #58145120); Macaroni or noodles with cheese and meat(60.42% match #58145135); "
"Sweets, syrups, cane","Sweet potato, candied(63.41% match #73406000); "
"Pork, cured, bacon, reduced sodium, raw","Barbecue sauce, reduced sodium(66.67% match #74406050); Teriyaki sauce, reduced sodium(60.87% match #41420410); "
"Wiener (frankfurter), Bavarian",
"Wiener (frankfurter), European",
"Wiener (frankfurter), low fat","Muffin, fruit, low fat(62.75% match #52302020); "
"Deli-meat, bologna (baloney), mixed meats",
"Deli-meat, bologna (baloney), low fat",
"Deli-meat, ham, cooked, fat free, sliced",
"Deli-meat, black forest ham",
"Deli-meat, prosciutto (cotto ham), extra lean",
"Deli-meat, corned beef, shaved",
"Deli-meat, corned beef, extra lean, sliced",
"Deli-meat, Old fashioned smoked brisket, sliced",
"Deli-meat, Montreal smoked meat, extra lean",
"Deli-meat, capicollo (cappocollo)",
"Sausage, kielbasa (kolbassa)",
"Sausage, kielbasa (kolbassa), extra lean",
"Deli-meat, salami (Hungarian), pork and beef, cooked",
"Deli-meat, salami (Genoa), dry cured",
"Deli-meat, summer sausage",
"Deli-meat, mortadella",
"Deli-meat, pepperoni",
"Deli-meat, pepperoni, turkey, reduced fat","Cheese, provolone, reduced fat(61.97% match #14108420); "
"Pt, country style cognac, glazed",
"Pt, country style herb, glazed",
"Pt, country style peppercorn, glazed",
"Pt, all flavours, reduced fat and sodium",
"Cretons, veal","Cress, raw(60.87% match #72110100); "
"Energy drink, coffee flavours",
"Energy drink, shot, sugar free","NOS Energy Drink, sugar-free(75.86% match #95312555); Red Bull Energy Drink, sugar-free(69.84% match #95312600); Rockstar Energy Drink, sugar-free(69.84% match #95312700); "
"Energy drink, various flavours",
"Energy drink, coffee flavours, light",
"Energy drink, sugar free/low calorie","NOS Energy Drink, sugar-free(68.75% match #95312555); Red Bull Energy Drink, sugar-free(63.77% match #95312600); Rockstar Energy Drink, sugar-free(63.77% match #95312700); "
"Energy drink, with fruit juice",
"Energy drink, caffeine free","NOS Energy Drink, sugar-free(65.45% match #95312555); No Fear Energy Drink, sugar-free(61.02% match #95312550); "
"Energy drink, tea flavoured","NOS Energy Drink, sugar-free(61.82% match #95312555); "
"Alcohol, energy drink (7% alcohol by volume)",
"Energy drink, with electrolytes, sugar free/low calorie",
"Vitamin water, all flavours, sweetened","Fruit butter, all flavors(60.32% match #91403000); "
"Vitamin water, all flavours, low Calorie",
"Vitamin water, lemon/orange flavours, sweetened",
"Vitamin water, lemon/orange flavours, low Calorie",
"Vitamin water, tropical citrus flavour, sweetened, with caffeine",
"Ham, flaked, canned","Mackerel, canned(62.86% match #26121180); Clams, canned(62.5% match #26303180); Quail egg, canned(61.11% match #31203000); "
"Vegetable oil, sunflower, mid-oleic",
"Chinese dish, fried rice without meat, restaurant prepared",
"Bread, 60% whole wheat, commercial","Bread, whole wheat, 100%(68.97% match #51201010); Bread, whole wheat, with raisins(66.67% match #51300210); Bread, pita, whole wheat, 100%(65.62% match #51201150); "
"Bread, white, commercial, with added fibre","Bread, white, special formula, added fiber(73.81% match #51122300); Bread, white, special formula, added fiber, toasted(68.82% match #51122310); "
"Bread, whole grain (whole-wheat), commercial","Bread, whole grain white, toasted(67.53% match #51300060); Bread, whole grain white(64.71% match #51300050); "
"Bread, whole grain (whole-wheat) +seeds (flax, sunflower), commercial",
"Bread, whole grain (whole-wheat), +seeds and bran, commercial",
"Bread, whole grain (whole-wheat), with added fibre, commercial",
"Bread, multigrain, commercial, reduced sodium","Bread, multigrain, toasted(64.79% match #51601010); Bread, multigrain, with raisins(63.16% match #51601210); Cracker, multigrain, low sodium(63.16% match #54210010); "
"Dessert, frozen, ice cream, soft serve, chocolate, light","Ice cream, soft serve, chocolate(70.45% match #13110210); Light ice cream, soft serve, chocolate (formerly ice milk)(64.91% match #13130610); Fat free ice cream, no sugar added, chocolate(63.37% match #13160150); "
"Dessert, frozen, ice cream bar, stick or nugget, with crunch coating","Ice cream bar, stick or nugget, with crunch coating(84.03% match #13120310); "
"Seasoning mix, chili, dry mix",
"Babyfood, snack, biscuit, rice",
"Salad dressing, mayonnaise, with olive oil, reduced fat",
"Sauce, peanut (made from coconut, water, sugar, peanuts)",
"Cereal, ready-to-eat, Krave, Kellogg's","Cereal, ready-to-eat, NFS(69.84% match #57100100); "
"Cherries, tart, dried, sweetened","Cherries, sour, red, cooked, unsweetened(75.0% match #63113110); Cherries, sour, red, raw(67.86% match #63113010); Blueberries, frozen, sweetened(67.74% match #63203550); "
"Blueberry, dried, sweetened","Blueberries, frozen, sweetened(80.7% match #63203550); Blueberries, frozen, unsweetened(77.97% match #63203600); Blueberries, dried(66.67% match #62105000); "
"Cherry, sour, canned, water pack, drained","Tuna, canned, water pack(64.62% match #26155190); Cherries, sweet, cooked, unsweetened, water pack(60.67% match #63115120); "
"Pear, red anjou, raw","Peas, green, raw(72.22% match #75120000); Pepper, Serrano, raw(70.0% match #75121500); Pepper, banana, raw(61.54% match #75124000); "
"Pear, bosc, raw","Pear, raw(75.0% match #63137010); Pear, Japanese, raw(70.59% match #63137050); Pepper, poblano, raw(68.57% match #75121400); "
"Pear, green anjou, raw","Peas, green, raw(78.95% match #75120000); Pepper, Serrano, raw(66.67% match #75121500); Pepper, sweet, green, raw(63.83% match #75122100); "
"Apple, Red Delicious, raw, with skin",
"Apple, Granny Smith, raw, with skin",
"Apple, Gala, raw, with skin",Apple salad with dressing(69.23% match #63401010); Pineapple salad with dressing(60.71% match #63413010); 
"Apple, Fuji, raw, with skin","Apple, baked, with sugar(62.75% match #63101330); Apple salad with dressing(61.54% match #63401010); "
"Pork, cured, back bacon, pan-fried","Pork roll, cured, fried(63.16% match #22431000); "
"Potato, roasted, frozen, unprepared","Peas, from frozen, creamed(65.57% match #75417012); Mushrooms, from frozen, creamed(60.61% match #75414012); "
"Nuts, walnuts, glazed",
"Nuts, almonds, oil roasted, smoke flavour, salt added","Almonds, dry roasted (assume salted)(60.67% match #42101200); "
"Beverage, coconut water, unsweetened, ready-to-drink",
"Plant-based beverage, almond, enriched, sweetened, vanilla flavoured",
"Plant-based beverage, almond, enriched, sweetened, chocolate flavoured",
"Beverage, protein drink, ready-to-drink, MUSCLE MLK, light",
"Beverage, whey protein isolate, powder",
"Juice drink, orange, Calorie-reduced","Fruit juice drink, low calorie(60.61% match #92550040); "
"Beverage, protein powder, whey based, powder","Protein powder, whey based, NFS(72.0% match #95230000); Protein powder, soy based, NFS(64.86% match #95230010); "
"Plant-based beverage, protein powder, soy based, powder","Protein powder, soy based, NFS(63.53% match #95230010); "
"Beverages, high protein powder","Bread, high protein(69.39% match #51123010); Bread, high protein, toasted(68.97% match #51123020); Slim Fast Shake Mix, high protein, powder(61.97% match #95210020); "
"Fish, trout, brook, raw",
"Beans, black, mature seeds, canned, solids and liquid, reduced sodium",
"Beans, great northern, canned, solids and liquid, reduced sodium",
"Vitamin water, flavours not lemon/orange, sweetened",
"Vitamin water, flavours not lemon/orange, low Calorie",
"Bread, spelt, commercial","Bread, oatmeal(63.16% match #51501010); Bread, sunflower meal(62.22% match #51805010); "
"Beans, kidney, red, canned, solids and liquid, reduced sodium",
"Beans, pinto, canned, solids and liquid, reduced sodium",
"Chickpeas (garbanzo beans, bengal gram), canned, solids and liquid, reduced sodium",
"Refried beans, canned, reduced sodium","Refried beans, canned, low sodium (84.51% match #41205040); Barbecue sauce, reduced sodium(65.67% match #74406050); Refried beans, fat not added in cooking(63.16% match #41205015); "
"Soy sauce (made with hydrolyzed vegetable protein), reduced sodium",
"Sweetener, herbal extract powder from Stevia leaf",
"Snacks, brown rice chips","Chips, brown rice(63.41% match #54318000); "
"Snacks, pretzels, hard, chocolate coated","Pretzel, hard, chocolate-coated(81.69% match #54408200); Caramel candy, chocolate covered(63.89% match #91703040); "
"Snacks, potato chips, lightly salted","White potato chips, lightly salted(82.86% match #71202500); "
"Sauce, peanut (made from peanut butter, water, soy sauce)",
"Indian, bread, chapati or roti, whole-wheat","Bread, chappatti or roti (Indian bread), wheat(62.92% match #51300175); "
"Indian, bread, paratha, whole-wheat","Bread, pita, whole wheat, 100%(64.62% match #51201150); "
"Indian, bread, naan, whole-wheat","Bread, pita, whole wheat, 100%(61.29% match #51201150); "
"Indian, bread, chapati or roti, plain",
"Cookie, sandwich with peanut butter filling, chocolate coated","Cookie, with peanut butter filling, chocolate-coated(90.27% match #53235500); Honey-combed hard candy with peanut butter, chocolate covered(68.85% match #91718050); Cracker, sandwich-type, peanut butter filled(66.67% match #54328100); "
"Cracker, multigrain","Bread, multigrain(77.78% match #51601020); Bagel, multigrain(77.78% match #51630000); Cracker, multigrain, low sodium(76.0% match #54210010); "
"Cookie, butter or sugar, with chocolate icing or filling","Cookie, butter or sugar, with chocolate icing or filling(100.0% match #53244010); Cookie, butter or sugar, with icing or filling other than chocolate(74.8% match #53244020); Cake or cupcake, marble, without icing or filling(66.67% match #53115100); "
"Cookie, chocolate, with icing or coating","Cookie, chocolate, with icing or coating(100.0% match #53209005); Cookie, chocolate, with chocolate filling or coating, fat free(76.47% match #53207050); Cookie, brownie, with icing or filling(74.36% match #53204100); "
"Tortilla, ready-to-bake / fry, whole-wheat","Tortilla, whole wheat(63.49% match #52215260); "
"Cookie, brownie, commercial, reduced fat","Cookie, shortbread, reduced fat(70.42% match #53239010); Cookie, vanilla wafer, reduced fat(70.27% match #53247050); Cookie, chocolate sandwich, reduced fat(65.82% match #53209020); "
"Cookie, chocolate sandwich, cream filling, reduced fat","Cookie, chocolate sandwich, reduced fat(83.87% match #53209020); Cookie, chocolate or fudge, reduced fat(75.27% match #53207020); Cookie, chocolate, sandwich, with extra filling(75.25% match #53209100); "
"Cookie, oatmeal sandwich, cream filling","Cookie, oatmeal sandwich, with creme filling(91.57% match #53233050); Cookie, vanilla sandwich, extra filling(79.49% match #53243010); Cookie, oatmeal sandwich, with peanut butter and jelly filling(71.29% match #53233080); "
"Cookie, graham cracker, plain or honey, low fat","Cookie, graham cracker with chocolate and marshmallow(64.0% match #53210900); "
"Cracker, cheese, whole-grain","Cracker, cheese, whole grain(96.43% match #54304150); Cracker, cheese(69.77% match #54304000); Cracker, cheese, reduced fat(67.86% match #54304100); "
"Sweet potato, french-fried, frozen, unprepared","White potato, french fries, from frozen, oven baked(70.1% match #71401020); Sweet potato, french fries(66.67% match #73410300); "
"Sweet potato, french-fried, cross cut, frozen, unprepared","White potato, french fries, from frozen, oven baked(68.52% match #71401020); Sweet potato, french fries(60.24% match #73410300); "
"Sweet potato puff, frozen, unprepared","Sweet potato, french fries(66.67% match #73410300); "
"Potato, french-fried, wedge cut, frozen, unprepared","White potato, french fries, from frozen, oven baked(62.75% match #71401020); "
"Potato, french-fried, cross cut, frozen, unprepared","White potato, french fries, from frozen, oven baked(66.67% match #71401020); "
"Taquito, chicken and cheese, frozen, heated in oven",
"Taquito, beef and cheese, frozen, heated in oven",
"Pasta mix, classic cheeseburger macaroni, unprepared",
"Pasta mix, classic beef, unprepared",
"Pizza roll, frozen, unprepared","Peas, from frozen, creamed(67.86% match #75417012); Turnips, from frozen, creamed(61.02% match #75418102); "
"Potsticker or wonton, pork and vegetable, frozen, unprepared",
"Turnover, cheese-filled, tomato-based sauce, frozen, unprepared","Turnover, cheese-filled, tomato-based sauce(81.13% match #58126160); Turnover, meat- and cheese-filled, tomato-based sauce, lower in fat(72.31% match #58126300); Manicotti, cheese-filled, with tomato sauce (diet frozen meal)(65.6% match #58304250); "
"Lasagna, cheese, frozen, unprepared",
"Chinese dish, chow mein, vegetable, without meat or noodles, restaurant prepared",
"Chinese dish, lo mein, vegetable, without meat, restaurant prepared",
"Chinese dish, chicken and vegetables, restaurant prepared",
"Chinese dish, orange chicken, restaurant prepared",
"Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener","Coffee and cocoa (mocha) mix, dry instant powder with whitener and low calorie sweetener(88.75% match #92192030); Coffee, dry instant powder, with whitener and low calorie sweetener(82.01% match #92193020); Coffee and cocoa (mocha), made from powdered instant mix, with whitener and low calorie sweetener, decaffeinated(78.26% match #92121050); "
"Bread, sprouted wheat, commercial","Bread, sprouted wheat, toasted(79.37% match #51207020); "
"Deli-meat, composite",
"Deli-meat, ham, sliced, composite",
"Deli-meat, bologna (baloney), composite",
"Bread, sprouted wheat with added calcium and vitamin D, commercial",
"Bread, oat (includes oatmeal and oat bran), commercial",
"Bread, made with milk, commercial","Cornmeal mush, made with milk(61.29% match #56201530); "
"Turnover, fruit (apple, berry, cherry, peach)",
"Dessert, frozen, FUDGESICLE bar, no sugar added, with artificial sweetener",
"Cookie, shortbread, plain, commercial, no sugar added, with artificial sweetener",
"Bread, 60% whole wheat, commercial, toasted","Bread, whole wheat, 100%, toasted(76.32% match #51201020); Bread, whole wheat, with raisins, toasted(73.81% match #51300220); Bread, whole wheat, NS as to 100%, toasted(70.59% match #51300120); "
"Bread, white, commercial, with added fibre, toasted","Bread, white, special formula, added fiber, toasted(78.43% match #51122310); Bread, rye, reduced calorie andor high fiber, toasted(63.46% match #51401070); Bread, multigrain, with raisins, toasted(61.54% match #51601220); "
"Bread, whole grain (whole-wheat), commercial, toasted","Bread, white with whole wheat swirl, toasted(72.16% match #51102020); Bread, whole grain white, toasted(72.09% match #51300060); Bread, whole wheat, with raisins, toasted(65.96% match #51300220); "
"Bread, whole grain (whole-wheat) + seeds (flax, sunflower), commercial, toasted","Bread, white with whole wheat swirl, toasted(60.16% match #51102020); "
"Bread, whole grain (whole-wheat), +seeds and bran, commercial, toasted","Bread, white with whole wheat swirl, toasted(63.16% match #51102020); Bread, whole grain white, toasted(60.19% match #51300060); "
"Bread, whole grain (whole-wheat), with added fibre, commercial, toasted","Bread, whole wheat, with raisins, toasted(66.07% match #51300220); Bread, wheat or cracked wheat, with raisins, toasted(61.79% match #51301130); "
"Bread, multigrain, commercial, reduced sodium, toasted","Bread, multigrain, with raisins, toasted(70.21% match #51601220); Bread, multigrain, reduced calorie andor high fiber, toasted(68.42% match #51602020); Bagel, multigrain, with raisins, toasted(63.83% match #51630110); "
"Bread, spelt, commercial, toasted","Bread, oatmeal, toasted(75.0% match #51501020); Bread, sunflower meal, toasted(73.02% match #51805020); Bread, soy, toasted(69.23% match #51804020); "
"Bread, sprouted wheat, commercial, toasted","Bread, sprouted wheat, toasted(83.33% match #51207020); Bread, oatmeal, toasted(70.77% match #51501020); Bread, sprouted wheat(66.67% match #51207010); "
"Bread, sprouted wheat with added calcium and vitamin D, commercial, toasted",
"Bread, oat (includes oatmeal and oat bran), commercial, toasted",
"Bread, made with milk, commercial, toasted","Bread, oatmeal, toasted(67.69% match #51501020); Bread, multigrain, with raisins, toasted(63.41% match #51601220); Bread, marble rye and pumpernickel, toasted(61.18% match #51401040); "
"Sausage, breakfast links or rounds, beef, raw",
"Sausage, breakfast links or rounds, pork, pre-cooked, reheated",
"Sausage, breakfast links or rounds, turkey, cooked",
"Sausage, chorizo, raw","Cabbage, red, raw(63.16% match #75105000); "
"Sausage, chorizo, cooked","Salami, soft, cooked(63.64% match #25221510); Deer chop, cooked(63.41% match #23322300); Caribou, cooked(61.54% match #23324100); "
"Sausage, Chorizo, semi-dried (Spanish style), cured",
"Chicken, broiler, breast, skinless, boneless, meat, braised",
"Chicken, broiler, breast, skinless, boneless, meat, grilled",
"Sausage, Chorizo, dry",
"Sausage, Oktoberfest, raw",
"Sausage, Oktoberfest, cooked","Salami, soft, cooked(66.67% match #25221510); "
"Chicken, broiler, drumstick, meat, braised","Chicken liver, braised(62.5% match #25110420); "
"Chicken, broiler, thigh, meat, braised","Chicken liver, braised(66.67% match #25110420); "
"Chicken, broiler, thigh, meat and skin, braised","Chicken, thigh, stewed, skin eaten(64.2% match #24153210); Chicken, thigh, stewed, skin not eaten(61.18% match #24153220); Chicken, thigh, fried, no coating, skin eaten(60.87% match #24154210); "
"Sausage, Italian, pork, reduced fat and sodium, raw",
"Sausage, Italian, pork, reduced fat and sodium, cooked",
"Sausage, Italian, turkey, raw",
"Sausage, Italian, turkey, cooked",
"Sausage, honey garlic, pork, raw",
"Sausage, honey garlic, pork, cooked","Salt pork, cooked(61.54% match #22621000); "
"Sausage, Bratwurst, pork, raw",
"Sausage, blood sausage (Blood pudding), cooked",
"Sausage, Polish, smoked, pre-cooked, reheated","Turkey, wing, smoked, cooked, skin eaten(63.53% match #24203120); "
"Sausage, Merguez, lamb, raw",
"Sausage, Merguez, lamb, cooked",
"Sausage, Knackwurst (Knockwurst), cooked",
"Meat stick, beef, refrigerated",
"Meat stick, mixed meats, refrigerated",
"Meat stick, chicken/turkey, refrigerated",
"Meat stick, pepperoni, refrigerated",
"Meat stick, pepperoni, non-refrigerated",
"Sausage, smoked, pork, pre-cooked, reheated",
"Sausage, smoked, pork, pre-cooked, reheated, reduced fat",
"Beef, chuck, short ribs, boneless, lean, 0mm trim, braised","Beef, shortribs, cooked, lean and fat eaten(61.39% match #21304110); "
"Sausage, smoked, with cheddar cheese, pre-cooked, reheated",
"Sausage, smoked, with cheddar cheese, pre-cooked, reduced fat","Cheese spread, American or Cheddar cheese base, reduced fat(63.33% match #14410330); "
"Sausage, smoked, with cheddar cheese, pre-cooked, reheated, reduced fat",
"Sausage, smoked, honey garlic, pre-cooked",
"Beef, chuck, short ribs, boneless, lean, 0mm trim, raw","Beef, shortribs, cooked, lean and fat eaten(61.86% match #21304110); "
"Beef, chuck, short ribs, boneless, lean and fat, 0mm trim, braised","Beef, shortribs, cooked, lean and fat eaten(66.06% match #21304110); Beef, shortribs, barbecued, with sauce, lean and fat eaten(61.29% match #21304210); "
"Sausage, smoked, honey garlic, pre-cooked, reheated",
"Beef, chuck, short ribs, boneless, lean and fat, 0mm trim, raw","Beef, shortribs, cooked, lean and fat eaten(66.67% match #21304110); Beef, shortribs, barbecued, with sauce, lean and fat eaten(61.67% match #21304210); "
"Sausage, spicy beef and roasted red pepper, raw",
"Sausage, spicy beef and roasted red pepper, cooked",
"Bread, italian, toasted","Bread, pita, toasted(88.37% match #51109110); Bread, raisin, toasted(84.44% match #51129020); Bread, oatmeal, toasted(82.61% match #51501020); "
"Yogourt, plain, rich/Mediterranean style  (6-9% M.F.), Vitamin D added",
"Soup (sauce), stock, cream, ready-to-serve",
"Soup, beef barley, ready-to-serve","Corned beef, canned, ready-to-eat(63.64% match #21416150); Beef noodle soup, canned or ready-to-serve(61.33% match #58402010); "
"Soup, beef barley, ready-to-serve, reduced sodium","Soup, mostly noodles, reduced sodium(61.18% match #58407035); "
"Soup, clam chowder, manhattan, ready-to-serve","Clam chowder, Manhattan(61.76% match #28350220); "
"Soup, vegetable beef, ready-to-serve, Calorie-reduced",
"Soup, broth, beef, ready-to-serve, reduced sodium","Soup, mostly noodles, reduced sodium(63.53% match #58407035); "
"Soup, broth, beef, ready-to-serve, no salt added",
"Soup, split pea with ham, ready-to-serve, reduced sodium",
"Soup, broth, vegetable, ready-to-serve",
"Soup, butternut squash, ready-to-serve, reduced sodium",
"Soup, chicken noodle, canned, condensed, reduced sodium","Soup, mostly noodles, reduced sodium(65.93% match #58407035); "
"Soup, chicken noodle, canned, condensed, water added, reduced sodium",
"Soup, broth, vegetable, ready-to-serve, reduced sodium","Soup, mostly noodles, reduced sodium(62.22% match #58407035); Spaghetti sauce, meatless, reduced sodium(61.05% match #74404050); "
"Soup, chicken rice, ready-to-serve, reduced sodium",
"Babyfood, mixed fruit with oatmeal cereal, all stages",
"Soup, clam chowder, New England, ready-to-serve, reduced sodium","Clam chowder, New England, prepared with milk(64.81% match #28355120); Clam chowder, New England, reduced sodium, canned or ready-to-serve(61.54% match #28355140); "
"Soup, cream, broccoli, canned, condensed",
"Soup, cream, broccoli, canned, condensed, water added",
"Soup, cream, broccoli, canned, condensed, 2% M.F. milk added",
"Soup, cream, broccoli, canned, condensed, reduced fat",
"Soup, cream, broccoli, canned, condensed, reduced fat, water added",
"Soup, cream, celery, canned, condensed, reduced fat",
"Soup, cream, broccoli, canned, condensed, reduced fat, 2% M.F. milk added",
"Soup, cream, chicken, canned, condensed, reduced fat",
"Soup, cream, chicken, canned, condensed, reduced fat, water added",
"Soup, cream, chicken, canned, condensed, reduced fat, 2% M.F. milk added",
"Soup, cream, chicken, ready-to-serve","Lentil soup, home recipe, canned, or ready-to-serve(62.07% match #41603010); Barley soup, home recipe, canned, or ready-to-serve(62.07% match #58401010); "
"Soup, cream, mushroom, canned, condensed, reduced sodium, water added","Mushroom soup, cream of, canned, reduced sodium, prepared with water(62.77% match #75607140); "
"Soup, cream, mushroom, canned, condensed, reduced fat, 2% M.F. milk added",
